Seconds.milliseconds since 1970
1361003647.92048, 6
1361003648.09104, 6
1361003648.25374, 6
1361003649.99678, 5
1361003650.16283, 5
1361003650.32613, 5
1361003651.90706, 8
1361003652.07509, 8
1361003652.24194, 8
1361003653.98994, 2
1361003654.16000, 2
1361003654.32444, 2
1361003655.91635, 9
1361003656.08340, 9
1361003656.24958, 9
1361003657.99850, 2
1361003658.16323, 2
1361003658.33456, 2
1361003659.93047, 7
1361003660.09662, 7
1361003660.27367, 7
1361003661.85907, 6
1361003662.02633, 6
1361003662.19155, 6
1361003663.93709, 5
1361003664.11809, 5
1361003664.28514, 5
1361003665.88021, 8
1361003666.04729, 8
1361003666.21249, 8
1361003667.94179, 3
1361003668.10654, 3
1361003668.26980, 3
1361003669.86753, 8
1361003670.03974, 8
1361003670.20305, 8
1361003672.13873, 2
1361003672.32332, 2
1361003672.49054, 2
1361003673.78688, 8
1361003673.96108, 8
1361003674.13537, 8
1361003675.89866, 3
1361003676.06741, 3
1361003676.23380, 3
1361003677.99361, 4
1361003678.16294, 4
1361003678.37777, 4
1361003679.70216, 5
1361003679.87523, 5
1361003680.03963, 5
1361003681.94380, 2
1361003682.11540, 2
1361003682.28374, 2
1361003683.88131, 9
1361003684.04941, 9
1361003684.22098, 9
1361003685.96197, 5
1361003686.12862, 5
1361003686.29281, 5
1361003687.88201, 2
1361003688.05092, 2
1361003688.21797, 2
1361003689.97494, 7
1361003690.14219, 7
1361003690.30755, 7
1361003691.88896, 2
1361003692.05321, 2
1361003692.22095, 2
1361003693.96786, 9
1361003694.13832, 9
1361003694.30249, 9
1361003695.88674, 7
1361003696.05351, 7
1361003696.21871, 7
1361003697.96447, 2
1361003698.13415, 2
1361003698.29782, 2
1361003699.88891, 9
1361003700.05779, 9
1361003700.22452, 9
1361003701.97363, 1
1361003702.13852, 1
1361003702.30244, 1
1361003703.90029, 4
1361003704.06787, 4
1361003704.23774, 4
1361003705.98606, 8
1361003706.15337, 8
1361003706.31966, 8
1361003707.90669, 5
1361003708.07533, 5
1361003708.23828, 5
